avg_reward,epoch,lr-Adam,step,train_loss
-9.0,0,,30,
,,0.001,49,
,1,,49,10.028327941894531
-4.199999809265137,1,,62,
-11.833333015441895,2,,95,
,,0.001,99,
,3,,99,0.38859057426452637
-14.285714149475098,3,,129,
,,0.001,149,
,4,,149,10.151625633239746
-17.5,4,,164,
,,0.001,199,
,5,,199,9.99917221069336
-19.77777862548828,5,,200,
-17.08333396911621,6,,237,
,,0.001,249,
,7,,249,4.229395866394043
-17.076923370361328,7,,275,
,,0.001,299,
,8,,299,1.2898485660552979
-19.428571701049805,8,,314,
,,0.001,349,
,9,,349,8.18136215209961
-16.88888931274414,9,,355,
-14.0,10,,397,
,,0.0009000000000000001,399,
,11,,399,8.961456298828125
-14.041666984558105,11,,440,
,,0.0009000000000000001,449,
,12,,449,2.4087347984313965
-15.479999542236328,12,,485,
,,0.0009000000000000001,499,
,13,,499,12.23381519317627
-14.699999809265137,13,,531,
,,0.0009000000000000001,549,
,14,,549,1.5857949256896973
-15.090909004211426,14,,578,
,,0.0009000000000000001,599,
,15,,599,0.2271309643983841
-15.676470756530762,15,,627,
,,0.0009000000000000001,649,
,16,,649,3.0489349365234375
-16.179487228393555,16,,677,
,,0.0009000000000000001,699,
,17,,699,0.41481953859329224
-15.428571701049805,17,,729,
,,0.0009000000000000001,749,
,18,,749,1.493512749671936
-14.85106372833252,18,,783,
,,0.0009000000000000001,799,
,19,,799,3.7448768615722656
-15.094339370727539,19,,838,
,,0.0008100000000000001,849,
,20,,849,2.4033827781677246
-14.982142448425293,20,,895,
,,0.0008100000000000001,899,
,21,,899,2.544342041015625
,,0.0008100000000000001,949,
,21,,949,8.892932891845703
-15.568965911865234,21,,954,
,,0.0008100000000000001,999,
,22,,999,5.583016395568848
-15.622950553894043,22,,1015,
,,0.0008100000000000001,1049,
,23,,1049,10.440834999084473
-15.5625,23,,1078,
,,0.0008100000000000001,1099,
,24,,1099,1.6430447101593018
-16.34848403930664,24,,1142,
,,0.0008100000000000001,1149,
,25,,1149,3.1693601608276367
,,0.0008100000000000001,1199,
,25,,1199,4.084688663482666
-16.0,25,,1208,
,,0.0008100000000000001,1249,
,26,,1249,1.8537323474884033
-16.109588623046875,26,,1277,
,,0.0008100000000000001,1299,
,27,,1299,4.030742168426514
-16.567567825317383,27,,1348,
,,0.0008100000000000001,1349,
,28,,1349,3.2860045433044434
,,0.0008100000000000001,1399,
,28,,1399,1.1683156490325928
-17.105262756347656,28,,1421,
,,0.0008100000000000001,1449,
,29,,1449,3.1003775596618652
-17.399999618530273,29,,1496,
,,0.000729,1499,
,30,,1499,10.541707038879395
,,0.000729,1549,
,30,,1549,0.7752349376678467
-17.285715103149414,30,,1574,
,,0.000729,1599,
,31,,1599,0.5759327411651611
,,0.000729,1649,
,31,,1649,2.917945623397827
-16.565217971801758,31,,1654,
,,0.000729,1699,
,32,,1699,2.8383564949035645
-16.691490173339844,32,,1736,
,,0.000729,1749,
,33,,1749,4.123331069946289
,,0.000729,1799,
,33,,1799,0.7320278882980347
-16.760000228881836,33,,1821,
,,0.000729,1849,
,34,,1849,6.355335235595703
,,0.000729,1899,
,34,,1899,0.7779075503349304
-15.5600004196167,34,,1909,
,,0.000729,1949,
,35,,1949,0.8313466310501099
,,0.000729,1999,
,35,,1999,1.4890124797821045
-15.510000228881836,35,,1999,
,,0.000729,2049,
,36,,2049,1.6170990467071533
-15.5,36,,2092,
,,0.000729,2099,
,37,,2099,4.388134002685547
,,0.000729,2149,
,37,,2149,3.0298452377319336
-14.609999656677246,37,,2188,
,,0.000729,2199,
,38,,2199,0.7059205770492554
,,0.000729,2249,
,38,,2249,2.81290864944458
-14.350000381469727,38,,2287,
,,0.000729,2299,
,39,,2299,1.1278046369552612
,,0.000729,2349,
,39,,2349,0.955396831035614
-14.529999732971191,39,,2389,
,,0.0006561000000000001,2399,
,40,,2399,2.8500916957855225
,,0.0006561000000000001,2449,
,40,,2449,7.251034259796143
-14.369999885559082,40,,2494,
,,0.0006561000000000001,2499,
,41,,2499,1.0198615789413452
,,0.0006561000000000001,2549,
,41,,2549,5.852895736694336
,,0.0006561000000000001,2599,
,41,,2599,2.292245388031006
-14.149999618530273,41,,2603,
,,0.0006561000000000001,2649,
,42,,2649,5.818257808685303
,,0.0006561000000000001,2699,
,42,,2699,0.5459276437759399
-13.670000076293945,42,,2715,
,,0.0006561000000000001,2749,
,43,,2749,1.2371516227722168
,,0.0006561000000000001,2799,
,43,,2799,1.6188905239105225
-13.40999984741211,43,,2831,
,,0.0006561000000000001,2849,
,44,,2849,2.2381534576416016
,,0.0006561000000000001,2899,
,44,,2899,0.8725205659866333
,,0.0006561000000000001,2949,
,44,,2949,2.655074119567871
-12.729999542236328,44,,2950,
,,0.0006561000000000001,2999,
,45,,2999,1.1968815326690674
,,0.0006561000000000001,3049,
,45,,3049,1.797173261642456
-12.15999984741211,45,,3073,
,,0.0006561000000000001,3099,
,46,,3099,3.786740303039551
,,0.0006561000000000001,3149,
,46,,3149,1.381826400756836
,,0.0006561000000000001,3199,
,46,,3199,2.2048425674438477
-12.869999885559082,46,,3200,
,,0.0006561000000000001,3249,
